estado,municipio,parroquia,old_centro,new_centro,address
48,CARABOBO,VALENCIA,SAN JOSE,UNIDAD EDUCATIVA PRIVADO SAGRADO CORAZON,GRUPO ESCOLAR REPUBLICA DEL PERU,SECTOR ANZOATEGUI 93-55 DERECHA CALLE CANTAURA. IZQUIERDA CALLE SILVA. FRENTE  CALLE ANZOATEGUI FRENTE AL CENTRO COMERCIAL EL AGUILA CASA
49,CARABOBO,VALENCIA,SAN JOSE,UNIDAD ESCOLAR ALFREDO COLOMINE,GRUPO ESCOLAR EUTIMIO RIVAS,"SECTOR LOPEZ CRUCE CON AVENIDA PADRE
ALFONZO 109 A-67 DERECHA  CALLE PLAZA. IZQUIERDA  CALLE LOPEZ. FRENTE CALLE PADRE ALFONZO FRENTE A LA PLAZA LOS ALMENDRONES CASA"
50,CARABOBO,VALENCIA,SAN JOSE,COLEGIO NUESTRA SEÑORA DE LOURDES,COLEGIO CALASANZ,URBANIZACIÓN CALLE LOPEZ LATOUCHE  DERECHA AVENIDA BOLIVAR. FRENTE CALLE LOPEZ LATOUCHE. IZQUIERDA CALLEJÓN PREBOL ANEXO A LA CRUZ ROJA EDIFICIO
51,CARABOBO,VALENCIA,SAN JOSE,ESCUELA BOLIVARIANA PEDRO CASTILLO,ESCUELA BASICA NACIONAL FERNANDO PEÑALVER,SECTOR CANDELARIA CALLE COMERCIO CON ANDRES BELLO DERECHA  CALLE ESCALONA. IZQUIERDA  CALLE ANDRES BELLO. FRENTE CALLE COMERCIO A 800 METROS DE LA LARA FIGUEREDO EDIFICIO
52,CARABOBO,VALENCIA,RAFAEL URDANETA,INCE LA ISABELICA,ESCUELA BASICA BOLIVARIANA ELEAZAR BERACIERTO,URBANIZACIÓN ISABELICA SECTOR  3 DERECHA CALLE CORE 2. FRENTE TRANSVERSAL 2. IZQUIERDA CAMINO DEL SECTOR 2 AL LADO DE LA IGLESIA SAGRADO CORAZON DE JESUS Y A DOS CUADRAS DEL CORE 2. EDIFICIO
53,CARABOBO,VALENCIA,RAFAEL URDANETA,UNIDAD EDUCATIVA JOSE AUSTRIA,ESCUELA BASICA NACIONAL GENERAL RAFAEL URDANETA,"URBANIZACIÓN ISABELICA, AVENIDA  ESTE-OESTE 3
FRENTE AVENIDA ESTE OESTE. DERECHA  CALLE ESTACIONAMIENTO BLOQUE 62. IZQUIERDA CALLE
06 AVENIDA ESTE-OESTE 3, URBANIZACION LA ISABELICA VALENCIA EDIFICIO"
54,CARABOBO,VALENCIA,RAFAEL URDANETA,UNIDAD EDUCATIVA NACIONAL BARRIO  LA TRINIDAD,UNIDAD EDUCATIVA NACIONAL BOLIVARIANA MERCEDES SANTANA,"URBANIZACIÓN ISABELICA SECTOR  3, TRANSVERSAL
1 DERECHA TRANSVERSAL SECTOR  3. FRENTE TRANSVERSAL 1. IZQUIERDA PROLONGACIÓN SECTOR 1 SECTOR 3 TRANSVERSAL 1, NUMERO 19 LA ISABELICA VALENCIA EDIFICIO"
55,CARABOBO,VALENCIA,RAFAEL URDANETA,ESCUELA BASICA LUIS SANOJO,UNIDAD EDUCATIVA CARABOBO,"URBANIZACIÓN ISABELICA, SECTOR ESTE-OESTE IZQUIERDA  CALLE ESTE-OESTE. FRENTE CALLEJÓN DEL BLOQUE 40. DERECHA VEREDA DEL BLOQUE 39
A 10 METROS DEL PEREFERICO LA ISABELICA Y AL FRENTE DEL LICEO ANTONIO SANDOVAL EDIFICIO"
56,CARABOBO,LOS GUAYOS,U LOS GUAYOS,UNIDAD EDUCATIVA JACINTO  LARA III,PRE-ESCOLAR BATALLA DE JUNIN,SECTOR 2 FRENTE TRANSVERSAL 2. DERECHA CALLEJÓN 1. IZQUIERDA  VEREDA 2 AL LADO DE CUERPO DE BOMBEROS DEL SECTOR 2 DE LA VIVIENDA POPULAR LOS GUAYOS EDIFICIO
57,CARABOBO,LOS GUAYOS,U LOS GUAYOS,LICEO NACIONAL PABLO NERUDA,PRE-ESCOLAR BATALLA DE JUNIN,SECTOR 2 FRENTE TRANSVERSAL 2. DERECHA CALLEJÓN 1. IZQUIERDA  VEREDA 2 AL LADO DE CUERPO DE BOMBEROS DEL SECTOR 2 DE LA VIVIENDA POPULAR LOS GUAYOS EDIFICIO
58,CARABOBO,LOS GUAYOS,U LOS GUAYOS,NAPIS DE GARCILLERA  III,ESCUELA BASICA NACIONAL BOLIVARIANA LAS AGUITAS III,SECTOR LAS AGUITAS SECTOR  02 DERECHA CALLE LIBERTADOR. IZQUIERDA  CALLE CELIO CELLI UBICADO EL LADO DEL BARRIO ANGEL MARIA POLANCO. FRENTE CALLE 06 AL LADO DEL BARRIO ANGEL MARIA POLANCO EDIFICIO
59,CARABOBO,LOS GUAYOS,U LOS GUAYOS,ESCUELA NACIONAL BOLIVARIANA LA MILAGROSA,UNIDAD EDUCATIVA ANTONIO JOSE DE SUCRE,"URBANIZACIÓN VIVIENDA POPULAR LOS GUAYOS SECTOR 2 SEGUNDA ETAPA DERECHA AVENIDA 01.
IZQUIERDA AVENIDA 02. FRENTE CALLE 06
DIAGONAL ANTIGUA CASA DE LA CULTURA  HOY EN DIA FUNDACION DEL NIÑO EDIFICIO"
60,CARABOBO,NAGUANAGUA,NAGUANAGUA,UNIDAD EDUCATIVA DOCTOR JOSE MARIA GIL,ESCUELA JOSE FELIX SOSA,URBANIZACIÓN CAPRENCO DERECHA CALLE AERONAUTICA.  IZQUIERDA CALLE TRANSITO. FRENTE CALLE 188 URBANIZACION CAPRENCO EDIFICIO
61,CARABOBO,NAGUANAGUA,NAGUANAGUA,UNIDAD EDUCATIVA MARIBEL CABALLERO DE TIRADO,ESCUELA BOLIVARIANA MONTALBAN,"BARRIO LA CIDRA DERECHA CALLE SAN MARTIN
192D. IZQUIERDA  CALLE GUZMAN BLANCO 193. FRENTE CALLE SAN MIGUEL 111-B DIAGONAL AL CENTRO COMERCIAL EL NARANJAL  NAGUANAGUA EDIFICIO"
